Generated UTC: 2026-01-16 20:42:16Z
Rule ID,Rule Name (Short),Best Practices Reference (Section),Best Practices Quote (Exact),Best Practices Intent (1 sentence),Automation Category (YAML),Included in MER Agent? (YAML recommendation),Implementation Status (Sheet-writing agent tool),Implementation Status (Backend rule engine),Evaluation Type / Handler,Data Sources Used (Declared),Key Fields / Schema Required (Concrete),What Evidence the Agent Checks,Agent Output When Rule Fails,Current Limitations,Missing Data / Schema / Config,Notes (wiring / gap details)
BS-UNCLEARED-ITEMS-COMMENT-WHY-NOT-CONCERN,Uncleared items include why they are not of concern,Best Practices → Loans/investments (reconciliation spreadsheet notes),Any uncleared item should have a comment next to it indicating why it is not of concern:,"Require that uncleared items include rationale (clear next statement, need info, steps taken, etc.).",requires_external_evidence,Yes (MVP),Not Implemented,Not Implemented,reconciliation_uncleared_items_require_explanation,Reconciliation spreadsheet | requires_external_sources=reconciliation_spreadsheet,"Reconciliation spreadsheet: uncleared_items[{account, txn_id, date, amount, explanation, link(optional), flagged_to_lead}]",(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Reconciliation spreadsheet schema for uncleared transactions + explanations + lead flag.,
BS-UNCLEARED-ITEMS-SUGGEST-DUPLICATE-SCAN,Uncleared items cross-checked vs AP/AR for duplicates,Best Practices → Loans/investments (reconciliation spreadsheet notes),Review the AP/AR lists - comparing these to uncleared bank/CC transactions is a way of identifying potential duplicate transactions as something may have been cash coded,Encourage duplicate detection by cross-checking uncleared bank/CC items vs AP/AR open lists.,heuristic,Planned (Phase 2),Not Implemented,Not Implemented,heuristic_duplicate_detection,QBO transactions + QBO AP/AR reports + reconciliation spreadsheet | requires_external_sources=reconciliation_spreadsheet,"Reconciliation spreadsheet: uncleared_items[{account, txn_id, date, amount, explanation, link(optional), flagged_to_lead}]",(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Reconciliation spreadsheet schema for uncleared transactions + explanations + lead flag.,
BS-PLOOTO-CLEARING-ZERO,Plooto clearing account is zero,Best Practices → Plooto,"The Plooto Clearing account should always have a balance of $0. If it doesn’t, it is likely due to one of the following reasons and needs to be investigated:",Ensure Plooto clearing is zero and provide investigation guidance when it’s not.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,balance_sheet_line_items_must_be_zero_with_external_diagnosis,QBO Balance Sheet (detect) + Plooto transaction report (diagnose) | requires_external_sources=plooto,"External: Plooto dashboard/export fields (clearing balance, instant balance, transfers) + evidence link",(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Plooto connector/export schema (clearing & instant balances).,
BS-PLOOTO-INSTANT-BALANCE-DISCLOSURE,Plooto Instant live balance identified,Best Practices → Plooto,"The Plooto Instant balance is available in the main Plooto dashboard page, but this is a live balance.",Identify non-zero Plooto Instant balances so they can be disclosed/transferred if needed.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,external_live_balance_check,"Plooto dashboard/live balance + client context | requires_external_sources=plooto,client_maintenance_kyc","External: Plooto dashboard/export fields (clearing balance, instant balance, transfers) + evidence link",(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Plooto connector/export schema (clearing & instant balances).,
BS-FX-ACCOUNTS-RECONCILED-MONTHLY,FX exchange accounts (Wise/OFX/etc.) reconciled monthly,"Best Practices → Wise, OFX or other foreign currency exchange accounts",We should have delegate access to download statements and reconcile at month end.,Ensure FX exchange accounts are reconciled monthly using platform statements.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,requires_external_statement_reconciliation,QBO + Wise/OFX statements | requires_external_sources=client_maintenance_kyc,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Wise/OFX statement ingestion + delegate access evidence.,
BS-FX-DELEGATE-ACCESS-ATTESTED,Wise/OFX delegate access confirmed,"Best Practices → Wise, OFX or other foreign currency exchange accounts",We should have delegate access to download statements and reconcile at month end.,Confirm we have delegate access to download statements (or record an attestation/evidence link).,human_review,No (Manual),Not Implemented,Not Implemented,needs_human_judgment,Wise/OFX (or platform) access settings + internal access records | requires_external_sources=client_maintenance_kyc,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Wise/OFX statement ingestion + delegate access evidence.,
BS-AP-SUBLEDGER-RECONCILES,Aged Payables Detail reconciles to Balance Sheet,Best Practices → Accounts Payable/Receivable,Aged Payable and Receivable listings must reconcile to the Balance Sheet accounts at the end of the month,Confirm AP detail totals reconcile to the AP balance sheet line.,deterministic,Yes (MVP),Implemented,Not Implemented,qbo_report_total_matches_balance_sheet_line,QBO AgedPayablesDetail + QBO Balance Sheet,QBO: report_total | QBO: balance_sheet_line_amount | period_end_date | tolerance,Compares QBO Aged AP/AR totals to the AP/AR BS line.,"FAIL with: report total, BS line amount, delta.",Backend rule engine lacks handler (or requires external evidence).,(None),
BS-AR-SUBLEDGER-RECONCILES,Aged Receivables Detail reconciles to Balance Sheet,Best Practices → Accounts Payable/Receivable,Aged Payable and Receivable listings must reconcile to the Balance Sheet accounts at the end of the month,Confirm AR detail totals reconcile to the AR balance sheet line.,deterministic,Yes (MVP),Implemented,Not Implemented,qbo_report_total_matches_balance_sheet_line,QBO AgedReceivablesDetail + QBO Balance Sheet,QBO: report_total | QBO: balance_sheet_line_amount | period_end_date | tolerance,Compares QBO Aged AP/AR totals to the AP/AR BS line.,"FAIL with: report total, BS line amount, delta.",Backend rule engine lacks handler (or requires external evidence).,(None),
BS-AP-AR-ITEMS-OLDER-THAN-60-DAYS,AP/AR items older than 60 days flagged,Best Practices → Accounts Payable/Receivable,Any open bills/invoices/payments older than 60 days must be looked into and a comment left,Ensure >60 day open AP/AR items are identified and annotated.,deterministic,Yes (MVP),Implemented,Not Implemented,qbo_aging_items_older_than_threshold_require_explanation,QBO Aged Payables/Receivables reports + MER notes/comments,"QBO: aging_items[{txn_id, name, txn_date, open_amount, age_days}] | threshold_days | MER: comment/link convention",Lists AP/AR open items older than threshold; (future) validates comment/support exists.,FAIL/FLAG with: list of open items (name/date/amount/age).,Backend rule engine lacks handler (or requires external evidence). Explanation validation needs a consistent MER comment/link convention.,(None),
BS-AP-AR-NEGATIVE-OPEN-ITEMS,Negative items (credits/overpayments) identified and justified,Best Practices → Accounts Payable/Receivable,Any negative items (e.g. credits/overpayments/prepayments),Identify negative open items and require justification/supporting documents.,requires_external_evidence,Yes (MVP),Not Implemented,Not Implemented,detect_negative_open_items_and_require_external_justification,QBO AP/AR detail (detect) + Dext + bank/credit card transactions (justify) | requires_external_sources=dext,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
BS-AP-AR-PAID-BUT-STILL-OPEN,Paid-or-likely-paid transactions still open are flagged,Best Practices → Accounts Payable/Receivable,Paid or likely paid transactions,Flag likely-paid transactions still open in AP/AR for investigation.,heuristic,Planned (Phase 2),Not Implemented,Not Implemented,heuristic_paid_but_open_detection,QBO AP/AR detail + Dext source docs + bank/CC transactions | requires_external_sources=dext,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
BS-AP-AR-INTERCOMPANY-OR-SHAREHOLDER-PAID,Items paid by intercompany/shareholder loan identified,Best Practices → Accounts Payable/Receivable,Transactions paid by intercompany or shareholder loan,Identify AP/AR items paid outside the entity (intercompany/shareholder) so balances can be cleared properly.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,multi_entity_payment_trace,QBO (multiple companies) + client KYC | requires_external_sources=client_maintenance_kyc,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
BS-AP-AR-FOREIGN-CURRENCY-DISCREPANCIES,Foreign currency discrepancies on AP/AR addressed,Best Practices → Accounts Payable/Receivable,Foreign currency discrepancies,"Catch FX mismatches on AP/AR items (exchange rate issues, inability to match feed transactions).",requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,fx_ap_ar_exception_review,QBO AP/AR + credit card statements | requires_external_sources=client_maintenance_kyc,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
BS-AP-AR-NEW-OVERDUE-ITEMS,Newly entered but already overdue items flagged,Best Practices → Accounts Payable/Receivable,"If bills have been provided since the last AP cycle and they were already overdue, flag these internally and to the client.",Escalate newly introduced overdue items so the client knows it wasn’t missed.,human_review,Planned (Phase 2),Not Implemented,Not Implemented,needs_prior_cycle_context,QBO transaction history + prior cycle context | requires_external_sources=client_maintenance_kyc,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
BS-AP-ENKEL-BILLS,Bills from Enkel investigated,Best Practices → Accounts Payable/Receivable,"If bills from Enkel show in AP, a request should be made in the #billing channel",Flag Enkel vendor bills and route to the internal billing escalation process.,human_review,No (Manual),Not Implemented,Not Implemented,manual_process_required,QBO AP detail (detect) + internal process,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
BS-AP-AR-YEAR_END_BATCH_ADJUSTMENTS,Year-end AP/AR batch adjustments not left as generic supplier/customer,Best Practices → Accounts Payable/Receivable → Year End Adjustments,Year end accountants will sometimes make a batch adjustment to Accounts Payable or Receivable and not necessarily provide a breakdown of invoices.,Detect batch adjustments and require breakdown/support; flag uncleared batch adjustments.,requires_external_evidence,Yes (MVP),Not Implemented,Not Implemented,detect_ap_ar_batch_adjustments_and_require_breakdown,QBO Journal Entries + QBO AP/AR detail + external year-end communication | requires_external_sources=mer_google_sheet,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
BS-AP-AR-PAID-AFTER-MONTH-END-NOTED,Items paid after month-end are annotated in MER,Best Practices → Accounts Payable/Receivable → Year End Adjustments,"When delivering MER, add comments for any items that are paid after month-end and include the payment date/method",Ensure post-period payments are disclosed in the MER comments with payment date/method.,deterministic,Yes (MVP),Not Implemented,Not Implemented,payments_after_period_end_require_mer_annotation,QBO payments + MER Google Sheet comments | requires_external_sources=mer_google_sheet,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
BS-INTERCOMPANY-BALANCES-RECONCILE,Intercompany loan balances reconcile across related companies,Best Practices → Intercompany Loans,"If we are doing the bookkeeping for a related company, ensure the balances for both companies reconcile",Reconcile intercompany balances across entities (sign conventions accounted for).,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,multi_company_balance_reconciliation,QBO (multiple realmIds),Multi-company access: QBO realmIds; intercompany account mapping; reconciliation/variance evidence,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Multi-company QBO access + account mapping across companies.,
BS-INTERCOMPANY-FORMAL-RECONCILE-IF-EOM-BALANCE,Intercompany loan formally reconciled if EOM balance provided,Best Practices → Intercompany Loans,"If we have an EOM balance for an intercompany loan, the account should be formally reconciled in both/all QBO companies",Require formal reconciliation evidence for intercompany loans when EOM balance exists.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,requires_external_reconciliation_verification,QBO reconciliation evidence (if accessible) OR reconciliation spreadsheet | requires_external_sources=reconciliation_spreadsheet,Multi-company access: QBO realmIds; intercompany account mapping; reconciliation/variance evidence,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Multi-company QBO access + account mapping across companies.,QBO reconciliation status isn’t available via current integration; treat as ‘external evidence required’. 
BS-INTERCOMPANY-VARIANCE-DISCLOSED,Intercompany discrepancies included in reconciliation spreadsheet,Best Practices → Intercompany Loans,"If there are any unresolved discrepancies, include the intercompany loan variance in the bank reconciliation spreadsheet",Ensure intercompany variances are documented with explanations.,requires_external_evidence,Yes (MVP),Not Implemented,Not Implemented,variance_must_be_documented,Reconciliation spreadsheet | requires_external_sources=reconciliation_spreadsheet,Multi-company access: QBO realmIds; intercompany account mapping; reconciliation/variance evidence,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Multi-company QBO access + account mapping across companies.,
BS-WORKING-PAPER-RECONCILES,Working papers reconcile to Balance Sheet,Best Practices → Prepayments/Deferred Revenue/Accruals etc.,Working papers need to be reconciled to the financial statements,Ensure each working paper balance ties to the relevant balance sheet line(s).,requires_external_evidence,Yes (MVP),Not Implemented,Not Implemented,working_paper_balance_matches_qbo_balance_sheet,"Working papers (Drive/Sheets) + QBO Balance Sheet | requires_external_sources=reconciliation_spreadsheet,mer_google_sheet",Working paper link(s); mapping to BS line; WP check formula locations; optional Drive file IDs for link consistency,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Working paper template schema + Drive file ID tracking for link consistency.,
BS-WORKING-PAPER-LINKS-PRESENT-IN-MER,Links to working papers included in Balance Sheet report,Best Practices → Prepayments/Deferred Revenue/Accruals etc.,Include links to any working papers in the balance sheet report,Require that balance sheet lines have supporting working paper links in the MER.,deterministic,Yes (MVP),Not Implemented,Not Implemented,mer_lines_require_link_to_support,MER Google Sheet | requires_external_sources=mer_google_sheet,MER: comments_col; row_label; row_amount; support_text_present (comment or link),"For scoped rows, requires a non-empty MER Comments cell (link or explanation text).",FAIL with: list of rows missing support + cell addresses.,Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Working paper template schema + Drive file ID tracking for link consistency. | MER Comments column convention: exact column header and required format (link or explanation).,
BS-MONTH-END-JOURNALS-FROM-KYC-PROCESSED,KYC-specified month-end journals processed,Best Practices → Prepayments/Deferred Revenue/Accruals etc.,Check the client’s KYC file for the specific month end journals that need processing,Ensure client-specified month-end journals are posted.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,required_journals_present,Client KYC + QBO Journal Entries | requires_external_sources=client_maintenance_kyc,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
BS-WORKING-PAPER-HAS-CHECK-FORMULA,Working papers contain a check formula vs QBO,Best Practices → Prepayments/Deferred Revenue/Accruals etc.,Have a check formula to add the QBO/Xero balance and calculate any variance,Ensure working papers include a tie-out/check calculation vs QBO.,deterministic,Yes (MVP),Not Implemented,Not Implemented,working_paper_integrity_check,Working paper (Sheets) | requires_external_sources=reconciliation_spreadsheet,Working paper link(s); mapping to BS line; WP check formula locations; optional Drive file IDs for link consistency,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Working paper template schema + Drive file ID tracking for link consistency.,
BS-WORKING-PAPER-SINGLE-COPY-REUSED,Single working paper reused monthly,Best Practices → Prepayments/Deferred Revenue/Accruals etc.,"In almost all cases, there should be one copy of the working paper that is referenced every month and not a copy made each time",Encourage single-source working papers reused month-over-month.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,working_paper_link_consistency,Drive metadata + MER links | requires_external_sources=mer_google_sheet,Working paper link(s); mapping to BS line; WP check formula locations; optional Drive file IDs for link consistency,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Working paper template schema + Drive file ID tracking for link consistency.,
BS-TAX-FILINGS-UP-TO-DATE,Sales tax filings completed through most recent period,Best Practices → Tax accounts,Esure sales tax filings have been made in QBO/Xero until the most recent period,Ensure sales tax filings are current through the most recent period.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,requires_external_tax_filing_verification,QBO tax filings (if accessible) + external portals as fallback | requires_external_sources=tax_portals,QBO: tax accounts; filings/returns; period_end | External: CRA/provincial portal balances + evidence links,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Tax portal evidence ingestion + mapping of portal balances to QBO accounts.,
BS-TAX-PAYABLE-AND-SUSPENSE-RECONCILE-TO-RETURN,Tax payable/suspense reconcile to most recent return,Best Practices → Tax accounts,Payable and Suspense accounts should reconcile to the current/most/recent period’s return,Tie tax payable/suspense balances to the latest return.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,tax_accounts_reconcile,QBO accounts + QBO transactions + return evidence | requires_external_sources=tax_portals,QBO: tax accounts; filings/returns; period_end | External: CRA/provincial portal balances + evidence links,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Tax portal evidence ingestion + mapping of portal balances to QBO accounts.,
BS-TAX-PAYABLE-MATCHES-PORTAL,Tax payable matches CRA/provincial portal balances,Best Practices → Tax accounts,Payable accounts should reconcile to the balances owing as shown on either the CRA or provincial tax websites,Confirm QBO payable matches authoritative portal balances.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,external_authority_balance_match,External portals + QBO | requires_external_sources=tax_portals,QBO: tax accounts; filings/returns; period_end | External: CRA/provincial portal balances + evidence links,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Tax portal evidence ingestion + mapping of portal balances to QBO accounts.,
BS-TAX-INTEREST-PENALTIES-RECORDED,Tax interest/penalties recorded and payments matched,Best Practices → Tax accounts,Any interest/penalties should be recorded and payments matched correctly,Ensure penalties/interest are recorded and matched to payments/refunds.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,requires_external_notice_verification,QBO transactions + external notices | requires_external_sources=tax_portals,QBO: tax accounts; filings/returns; period_end | External: CRA/provincial portal balances + evidence links,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Tax portal evidence ingestion + mapping of portal balances to QBO accounts.,
BS-TAX-MISCLASSIFICATION-CHECK,Taxes not recorded to wrong accounts,Best Practices → Tax accounts,Confirm taxes haven’t been reports to the wrong account - e.g. corporate tax instalments incorrectly recorded to a sales tax account,Detect tax postings to incorrect accounts (misclassification).,deterministic,Planned (Phase 2),Not Implemented,Not Implemented,detect_tax_misclassification,QBO chart of accounts + QBO transactions,QBO: tax accounts; filings/returns; period_end | External: CRA/provincial portal balances + evidence links,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Tax portal evidence ingestion + mapping of portal balances to QBO accounts.,
BS-LOAN-AND-INVESTMENT-BALANCES-RECONCILE,Loans/investments reconcile to statements or schedules,Best Practices → Loans/mortgages/term deposits/GICs/investments etc.,Reconcile the accounts if we have statements or a schedule,Tie loan/investment balances to statements/schedules.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,external_statement_balance_match,Statements/schedules + QBO Balance Sheet | requires_external_sources=client_maintenance_kyc,Loan statements/schedules (external) or MER support links; mapping loan rows to schedules,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
BS-LOAN-SCHEDULE-LINKS-PRESENT,Interest/repayment schedules linked when available,Best Practices → Loans/mortgages/term deposits/GICs/investments etc.,Link to any interest/repayment schedules if we have enough information to make one,Ensure loan schedules are linked when available.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,support_link_presence_check,MER Google Sheet + Drive | requires_external_sources=mer_google_sheet,MER: comments_col; row_label; row_amount; support_text_present (comment or link),"For scoped rows, requires a non-empty MER Comments cell (link or explanation text).",FAIL with: list of rows missing support + cell addresses.,Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,MER Comments column convention: exact column header and required format (link or explanation).,
BS-LOAN-MISSING-INFO-FLAGGED,Missing info/new loans flagged to reviewer,Best Practices → Loans/mortgages/term deposits/GICs/investments etc.,Flag to the reviewer if we are missing information or if it looks like there are new loans/investments etc. (if the client hasn’t been asked!),Prompt reviewer when a loan appears new or sufficient info is missing.,human_review,No (Manual),Not Implemented,Not Implemented,needs_human_judgment,QBO transactions + external statements,Loan statements/schedules (external) or MER support links; mapping loan rows to schedules,(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
